"Année","Canton (-) / District (>>) / Commune (......)","Durée du mariage","Nationalité (catégorie) partenaire 1","Nationalité (catégorie) partenaire 2 - total","Suisse","Étranger"
"2013","Suisse","0-4 ans","Suisse",1246,832,414
"2013","Suisse","0-4 ans","Étranger",833,518,315
"2013","Suisse","5-9 ans","Nationalité (catégorie) partenaire 1 - total",4563,2846,1717
"2013","Suisse","5-9 ans","Suisse",2563,1630,933
"2013","Suisse","5-9 ans","Étranger",2000,1216,784
"2013","Suisse","10-14 ans","Nationalité (catégorie) partenaire 1 - total",3199,2468,731
"2013","Suisse","10-14 ans","Suisse",2449,2020,429
"2013","Suisse","10-14 ans","Étranger",750,448,302
"2013","Suisse","15-19 ans","Nationalité (catégorie) partenaire 1 - total",2277,1984,293
"2013","Suisse","15-19 ans","Suisse",1950,1771,179
"2013","Suisse","15-19 ans","Étranger",327,213,114
"2013","Suisse","20 ans ou plus","Nationalité (catégorie) partenaire 1 - total",5001,4818,183
"2013","Suisse","20 ans ou plus","Suisse",4558,4480,78
"2013","Suisse","20 ans ou plus","Étranger",443,338,105
"2014","Suisse","Durée du mariage - total","Nationalité (catégorie) partenaire 1 - total",16737,13144,3593
"2014","Suisse","Durée du mariage - total","Suisse",12481,10548,1933
"2014","Suisse","Durée du mariage - total","Étranger",4256,2596,1660
"2014","Suisse","0-4 ans","Nationalité (catégorie) partenaire 1 - total",2062,1279,783
"2014","Suisse","0-4 ans","Suisse",1206,782,424
"2014","Suisse","0-4 ans","Étranger",856,497,359
"2014","Suisse","5-9 ans","Nationalité (catégorie) partenaire 1 - total",4256,2660,1596
"2014","Suisse","5-9 ans","Suisse",2415,1568,847
"2014","Suisse","5-9 ans","Étranger",1841,1092,749
"2014","Suisse","10-14 ans","Nationalité (catégorie) partenaire 1 - total",3044,2300,744
"2014","Suisse","10-14 ans","Suisse",2261,1848,413
"2014","Suisse","10-14 ans","Étranger",783,452,331
"2014","Suisse","15-19 ans","Nationalité (catégorie) partenaire 1 - total",2320,2038,282
"2014","Suisse","15-19 ans","Suisse",1987,1817,170
"2014","Suisse","15-19 ans","Étranger",333,221,112
"2014","Suisse","20 ans ou plus","Nationalité (catégorie) partenaire 1 - total",5055,4867,188
"2014","Suisse","20 ans ou plus","Suisse",4612,4533,79
"2014","Suisse","20 ans ou plus","Étranger",443,334,109
"2015","Suisse","Durée du mariage - total","Nationalité (catégorie) partenaire 1 - total",16960,13067,3893
"2015","Suisse","Durée du mariage - total","Suisse",12455,10480,1975
"2015","Suisse","Durée du mariage - total","Étranger",4505,2587,1918
"2015","Suisse","0-4 ans","Nationalité (catégorie) partenaire 1 - total",2077,1264,813
"2015","Suisse","0-4 ans","Suisse",1195,764,431
"2015","Suisse","0-4 ans","Étranger",882,500,382
"2015","Suisse","5-9 ans","Nationalité (catégorie) partenaire 1 - total",4324,2676,1648
"2015","Suisse","5-9 ans","Suisse",2450,1634,816
"2015","Suisse","5-9 ans","Étranger",1874,1042,832
"2015","Suisse","10-14 ans","Nationalité (catégorie) partenaire 1 - total",3192,2366,826
"2015","Suisse","10-14 ans","Suisse",2295,1848,447
"2015","Suisse","10-14 ans","Étranger",897,518,379
"2015","Suisse","15-19 ans","Nationalité (catégorie) partenaire 1 - total",2379,2021,358
"2015","Suisse","15-19 ans","Suisse",1961,1791,170
"2015","Suisse","15-19 ans","Étranger",418,230,188
"2015","Suisse","20 ans ou plus","Nationalité (catégorie) partenaire 1 - total",4988,4740,248
"2015","Suisse","20 ans ou plus","Suisse",4554,4443,111
"2015","Suisse","20 ans ou plus","Étranger",434,297,137
"2016","Suisse","Durée du mariage - total","Nationalité (catégorie) partenaire 1 - total",17028,13078,3950
"2016","Suisse","Durée du mariage - total","Suisse",12553,10592,1961
"2016","Suisse","Durée du mariage - total","Étranger",4475,2486,1989
"2016","Suisse","0-4 ans","Nationalité (catégorie) partenaire 1 - total",2020,1240,780
"2016","Suisse","0-4 ans","Suisse",1160,734,426
"2016","Suisse","0-4 ans","Étranger",860,506,354
"2016","Suisse","5-9 ans","Nationalité (catégorie) partenaire 1 - total",4183,2662,1521
"2016","Suisse","5-9 ans","Suisse",2419,1679,740
"2016","Suisse","5-9 ans","Étranger",1764,983,781
"2016","Suisse","10-14 ans","Nationalité (catégorie) partenaire 1 - total",3356,2406,950
"2016","Suisse","10-14 ans","Suisse",2408,1939,469
"2016","Suisse","10-14 ans","Étranger",948,467,481
"2016","Suisse","15-19 ans","Nationalité (catégorie) partenaire 1 - total",2439,2033,406
"2016","Suisse","15-19 ans","Suisse",2027,1816,211
"2016","Suisse","15-19 ans","Étranger",412,217,195
"2016","Suisse","20 ans ou plus","Nationalité (catégorie) partenaire 1 - total",5030,4737,293
"2016","Suisse","20 ans ou plus","Suisse",4539,4424,115
"2016","Suisse","20 ans ou plus","Étranger",491,313,178
"2017","Suisse","Durée du mariage - total","Nationalité (catégorie) partenaire 1 - total",15906,12137,3769
"2017","Suisse","Durée du mariage - total","Suisse",11536,9761,1775
"2017","Suisse","Durée du mariage - total","Étranger",4370,2376,1994
"2017","Suisse","0-4 ans","Nationalité (catégorie) partenaire 1 - total",1900,1174,726
"2017","Suisse","0-4 ans","Suisse",1075,687,388
"2017","Suisse","0-4 ans","Étranger",825,487,338
"2017","Suisse","5-9 ans","Nationalité (catégorie) partenaire 1 - total",3917,2474,1443
"2017","Suisse","5-9 ans","Suisse",2249,1566,683
"2017","Suisse","5-9 ans","Étranger",1668,908,760
"2017","Suisse","10-14 ans","Nationalité (catégorie) partenaire 1 - total",3039,2137,902
"2017","Suisse","10-14 ans","Suisse",2087,1699,388
"2017","Suisse","10-14 ans","Étranger",952,438,514
"2017","Suisse","15-19 ans","Nationalité (catégorie) partenaire 1 - total",2300,1888,412
"2017","Suisse","15-19 ans","Suisse",1875,1671,204
"2017","Suisse","15-19 ans","Étranger",425,217,208
"2017","Suisse","20 ans ou plus","Nationalité (catégorie) partenaire 1 - total",4750,4464,286
"2017","Suisse","20 ans ou plus","Suisse",4250,4138,112
"2017","Suisse","20 ans ou plus","Étranger",500,326,174
"2018","Suisse","Durée du mariage - total","Nationalité (catégorie) partenaire 1 - total",16542,12566,3976
"2018","Suisse","Durée du mariage - total","Suisse",11978,10064,1914
"2018","Suisse","Durée du mariage - total","Étranger",4564,2502,2062
"2018","Suisse","0-4 ans","Nationalité (catégorie) partenaire 1 - total",1973,1189,784
"2018","Suisse","0-4 ans","Suisse",1095,684,411
"2018","Suisse","0-4 ans","Étranger",878,505,373
"2018","Suisse","5-9 ans","Nationalité (catégorie) partenaire 1 - total",4003,2548,1455
"2018","Suisse","5-9 ans","Suisse",2327,1609,718
"2018","Suisse","5-9 ans","Étranger",1676,939,737
"2018","Suisse","10-14 ans","Nationalité (catégorie) partenaire 1 - total",3154,2216,938
"2018","Suisse","10-14 ans","Suisse",2181,1763,418
"2018","Suisse","10-14 ans","Étranger",973,453,520
"2018","Suisse","15-19 ans","Nationalité (catégorie) partenaire 1 - total",2387,1929,458
"2018","Suisse","15-19 ans","Suisse",1881,1684,197
"2018","Suisse","15-19 ans","Étranger",506,245,261
"2018","Suisse","20 ans ou plus","Nationalité (catégorie) partenaire 1 - total",5025,4684,341
"2018","Suisse","20 ans ou plus","Suisse",4494,4324,170
"2018","Suisse","20 ans ou plus","Étranger",531,360,171
"2019","Suisse","Durée du mariage - total","Nationalité (catégorie) partenaire 1 - total",16885,12833,4052
"2019","Suisse","Durée du mariage - total","Suisse",12289,10372,1917
"2019","Suisse","Durée du mariage - total","Étranger",4596,2461,2135
"2019","Suisse","0-4 ans","Nationalité (catégorie) partenaire 1 - total",1973,1198,775
"2019","Suisse","0-4 ans","Suisse",1127,715,412
"2019","Suisse","0-4 ans","Étranger",846,483,363
"2019","Suisse","5-9 ans","Nationalité (catégorie) partenaire 1 - total",3924,2493,1431
"2019","Suisse","5-9 ans","Suisse",2305,1596,709
"2019","Suisse","5-9 ans","Étranger",1619,897,722
"2019","Suisse","10-14 ans","Nationalité (catégorie) partenaire 1 - total",3291,2336,955
"2019","Suisse","10-14 ans","Suisse",2289,1882,407
"2019","Suisse","10-14 ans","Étranger",1002,454,548
"2019","Suisse","15-19 ans","Nationalité (catégorie) partenaire 1 - total",2508,1989,519
"2019","Suisse","15-19 ans","Suisse",1960,1738,222
"2019","Suisse","15-19 ans","Étranger",548,251,297
"2019","Suisse","20 ans ou plus","Nationalité (catégorie) partenaire 1 - total",5189,4817,372
"2019","Suisse","20 ans ou plus","Suisse",4608,4441,167
"2019","Suisse","20 ans ou plus","Étranger",581,376,205
"2020","Suisse","Durée du mariage - total","Nationalité (catégorie) partenaire 1 - total",16210,12394,3816
"2020","Suisse","Durée du mariage - total","Suisse",11907,10148,1759
"2020","Suisse","Durée du mariage - total","Étranger",4303,2246,2057
"2020","Suisse","0-4 ans","Nationalité (catégorie) partenaire 1 - total",1823,1140,683
"2020","Suisse","0-4 ans","Suisse",1067,702,365
"2020","Suisse","0-4 ans","Étranger",756,438,318
"2020","Suisse","5-9 ans","Nationalité (catégorie) partenaire 1 - total",3645,2298,1347
"2020","Suisse","5-9 ans","Suisse",2148,1506,642
"2020","Suisse","5-9 ans","Étranger",1497,792,705
"2020","Suisse","10-14 ans","Nationalité (catégorie) partenaire 1 - total",3171,2244,927
"2020","Suisse","10-14 ans","Suisse",2190,1797,393
"2020","Suisse","10-14 ans","Étranger",981,447,534
"2020","Suisse","15-19 ans","Nationalité (catégorie) partenaire 1 - total",2431,1929,502
"2020","Suisse","15-19 ans","Suisse",1915,1705,210
"2020","Suisse","15-19 ans","Étranger",516,224,292
"2020","Suisse","20 ans ou plus","Nationalité (catégorie) partenaire 1 - total",5140,4783,357
"2020","Suisse","20 ans ou plus","Suisse",4587,4438,149
"2020","Suisse","20 ans ou plus","Étranger",553,345,208
"2021","Suisse","Durée du mariage - total","Nationalité (catégorie) partenaire 1 - total",17159,12897,4262
"2021","Suisse","Durée du mariage - total","Suisse",12440,10531,1909
"2021","Suisse","Durée du mariage - total","Étranger",4719,2366,2353
"2021","Suisse","0-4 ans","Nationalité (catégorie) partenaire 1 - total",1701,1038,663
"2021","Suisse","0-4 ans","Suisse",946,608,338
"2021","Suisse","0-4 ans","Étranger",755,430,325
"2021","Suisse","5-9 ans","Nationalité (catégorie) partenaire 1 - total",3788,2362,1426
"2021","Suisse","5-9 ans","Suisse",2120,1444,676
"2021","Suisse","5-9 ans","Étranger",1668,918,750
"2021","Suisse","10-14 ans","Nationalité (catégorie) partenaire 1 - total",3552,2513,1039
"2021","Suisse","10-14 ans","Suisse",2504,2054,450
"2021","Suisse","10-14 ans","Étranger",1048,459,589
"2021","Suisse","15-19 ans","Nationalité (catégorie) partenaire 1 - total",2687,2048,639
"2021","Suisse","15-19 ans","Suisse",2039,1802,237
"2021","Suisse","15-19 ans","Étranger",648,246,402
"2021","Suisse","20 ans ou plus","Nationalité (catégorie) partenaire 1 - total",5431,4936,495
"2021","Suisse","20 ans ou plus","Suisse",4831,4623,208
"2021","Suisse","20 ans ou plus","Étranger",600,313,287
"2022","Suisse","Durée du mariage - total","Nationalité (catégorie) partenaire 1 - total",16201,12142,4059
"2022","Suisse","Durée du mariage - total","Suisse",11611,9817,1794
"2022","Suisse","Durée du mariage - total","Étranger",4590,2325,2265
"2022","Suisse","0-4 ans","Nationalité (catégorie) partenaire 1 - total",1613,967,646
"2022","Suisse","0-4 ans","Suisse",885,561,324
"2022","Suisse","0-4 ans","Étranger",728,406,322
"2022","Suisse","5-9 ans","Nationalité (catégorie) partenaire 1 - total",3578,2170,1408
"2022","Suisse","5-9 ans","Suisse",1939,1288,651
"2022","Suisse","5-9 ans","Étranger",1639,882,757
"2022","Suisse","10-14 ans","Nationalité (catégorie) partenaire 1 - total",3271,2339,932
"2022","Suisse","10-14 ans","Suisse",2270,1893,377
"2022","Suisse","10-14 ans","Étranger",1001,446,555
"2022","Suisse","15-19 ans","Nationalité (catégorie) partenaire 1 - total",2581,2011,570
"2022","Suisse","15-19 ans","Suisse",1981,1748,233
"2022","Suisse","15-19 ans","Étranger",600,263,337
"2022","Suisse","20 ans ou plus","Nationalité (catégorie) partenaire 1 - total",5158,4655,503
"2022","Suisse","20 ans ou plus","Suisse",4536,4327,209
"2022","Suisse","20 ans ou plus","Étranger",622,328,294
"2023","Suisse","Durée du mariage - total","Nationalité (catégorie) partenaire 1 - total",15598,11657,3941
"2023","Suisse","Durée du mariage - total","Suisse",11079,9329,1750
"2023","Suisse","Durée du mariage - total","Étranger",4519,2328,2191
"2023","Suisse","0-4 ans","Nationalité (catégorie) partenaire 1 - total",1513,948,565
"2023","Suisse","0-4 ans","Suisse",855,559,296
"2023","Suisse","0-4 ans","Étranger",658,389,269
"2023","Suisse","5-9 ans","Nationalité (catégorie) partenaire 1 - total",3538,2175,1363
"2023","Suisse","5-9 ans","Suisse",1932,1297,635
"2023","Suisse","5-9 ans","Étranger",1606,878,728
"2023","Suisse","10-14 ans","Nationalité (catégorie) partenaire 1 - total",3097,2155,942
"2023","Suisse","10-14 ans","Suisse",2105,1704,401
"2023","Suisse","10-14 ans","Étranger",992,451,541
"2023","Suisse","15-19 ans","Nationalité (catégorie) partenaire 1 - total",2476,1931,545
"2023","Suisse","15-19 ans","Suisse",1865,1664,201
"2023","Suisse","15-19 ans","Étranger",611,267,344
"2023","Suisse","20 ans ou plus","Nationalité (catégorie) partenaire 1 - total",4974,4448,526
"2023","Suisse","20 ans ou plus","Suisse",4322,4105,217
"2023","Suisse","20 ans ou plus","Étranger",652,343,309
