"Année","Canton (-) / District (>>) / Commune (......)","Durée du mariage","Nationalité (catégorie) partenaire 1","Nationalité (catégorie) partenaire 2 - total","Suisse","Étranger"
"1978","Suisse","10-14 ans","Nationalité (catégorie) partenaire 1 - total",2239,...,...
"1978","Suisse","10-14 ans","Suisse",...,...,...
"1978","Suisse","10-14 ans","Étranger",...,...,...
"1978","Suisse","15-19 ans","Nationalité (catégorie) partenaire 1 - total",1400,...,...
"1978","Suisse","15-19 ans","Suisse",...,...,...
"1978","Suisse","15-19 ans","Étranger",...,...,...
"1978","Suisse","20 ans ou plus","Nationalité (catégorie) partenaire 1 - total",1577,...,...
"1978","Suisse","20 ans ou plus","Suisse",...,...,...
"1978","Suisse","20 ans ou plus","Étranger",...,...,...
"1979","Suisse","Durée du mariage - total","Nationalité (catégorie) partenaire 1 - total",10394,...,...
"1979","Suisse","Durée du mariage - total","Suisse",...,...,...
"1979","Suisse","Durée du mariage - total","Étranger",...,...,...
"1979","Suisse","0-4 ans","Nationalité (catégorie) partenaire 1 - total",2019,...,...
"1979","Suisse","0-4 ans","Suisse",...,...,...
"1979","Suisse","0-4 ans","Étranger",...,...,...
"1979","Suisse","5-9 ans","Nationalité (catégorie) partenaire 1 - total",3015,...,...
"1979","Suisse","5-9 ans","Suisse",...,...,...
"1979","Suisse","5-9 ans","Étranger",...,...,...
"1979","Suisse","10-14 ans","Nationalité (catégorie) partenaire 1 - total",2248,...,...
"1979","Suisse","10-14 ans","Suisse",...,...,...
"1979","Suisse","10-14 ans","Étranger",...,...,...
"1979","Suisse","15-19 ans","Nationalité (catégorie) partenaire 1 - total",1456,...,...
"1979","Suisse","15-19 ans","Suisse",...,...,...
"1979","Suisse","15-19 ans","Étranger",...,...,...
"1979","Suisse","20 ans ou plus","Nationalité (catégorie) partenaire 1 - total",1656,...,...
"1979","Suisse","20 ans ou plus","Suisse",...,...,...
"1979","Suisse","20 ans ou plus","Étranger",...,...,...
"1980","Suisse","Durée du mariage - total","Nationalité (catégorie) partenaire 1 - total",10910,...,...
"1980","Suisse","Durée du mariage - total","Suisse",...,...,...
"1980","Suisse","Durée du mariage - total","Étranger",...,...,...
"1980","Suisse","0-4 ans","Nationalité (catégorie) partenaire 1 - total",1992,...,...
"1980","Suisse","0-4 ans","Suisse",...,...,...
"1980","Suisse","0-4 ans","Étranger",...,...,...
"1980","Suisse","5-9 ans","Nationalité (catégorie) partenaire 1 - total",3006,...,...
"1980","Suisse","5-9 ans","Suisse",...,...,...
"1980","Suisse","5-9 ans","Étranger",...,...,...
"1980","Suisse","10-14 ans","Nationalité (catégorie) partenaire 1 - total",2438,...,...
"1980","Suisse","10-14 ans","Suisse",...,...,...
"1980","Suisse","10-14 ans","Étranger",...,...,...
"1980","Suisse","15-19 ans","Nationalité (catégorie) partenaire 1 - total",1679,...,...
"1980","Suisse","15-19 ans","Suisse",...,...,...
"1980","Suisse","15-19 ans","Étranger",...,...,...
"1980","Suisse","20 ans ou plus","Nationalité (catégorie) partenaire 1 - total",1795,...,...
"1980","Suisse","20 ans ou plus","Suisse",...,...,...
"1980","Suisse","20 ans ou plus","Étranger",...,...,...
"1981","Suisse","Durée du mariage - total","Nationalité (catégorie) partenaire 1 - total",11131,...,...
"1981","Suisse","Durée du mariage - total","Suisse",...,...,...
"1981","Suisse","Durée du mariage - total","Étranger",...,...,...
"1981","Suisse","0-4 ans","Nationalité (catégorie) partenaire 1 - total",2148,...,...
"1981","Suisse","0-4 ans","Suisse",...,...,...
"1981","Suisse","0-4 ans","Étranger",...,...,...
"1981","Suisse","5-9 ans","Nationalité (catégorie) partenaire 1 - total",2985,...,...
"1981","Suisse","5-9 ans","Suisse",...,...,...
"1981","Suisse","5-9 ans","Étranger",...,...,...
"1981","Suisse","10-14 ans","Nationalité (catégorie) partenaire 1 - total",2463,...,...
"1981","Suisse","10-14 ans","Suisse",...,...,...
"1981","Suisse","10-14 ans","Étranger",...,...,...
"1981","Suisse","15-19 ans","Nationalité (catégorie) partenaire 1 - total",1685,...,...
"1981","Suisse","15-19 ans","Suisse",...,...,...
"1981","Suisse","15-19 ans","Étranger",...,...,...
"1981","Suisse","20 ans ou plus","Nationalité (catégorie) partenaire 1 - total",1850,...,...
"1981","Suisse","20 ans ou plus","Suisse",...,...,...
"1981","Suisse","20 ans ou plus","Étranger",...,...,...
"1982","Suisse","Durée du mariage - total","Nationalité (catégorie) partenaire 1 - total",11589,...,...
"1982","Suisse","Durée du mariage - total","Suisse",...,...,...
"1982","Suisse","Durée du mariage - total","Étranger",...,...,...
"1982","Suisse","0-4 ans","Nationalité (catégorie) partenaire 1 - total",2249,...,...
"1982","Suisse","0-4 ans","Suisse",...,...,...
"1982","Suisse","0-4 ans","Étranger",...,...,...
"1982","Suisse","5-9 ans","Nationalité (catégorie) partenaire 1 - total",2986,...,...
"1982","Suisse","5-9 ans","Suisse",...,...,...
"1982","Suisse","5-9 ans","Étranger",...,...,...
"1982","Suisse","10-14 ans","Nationalité (catégorie) partenaire 1 - total",2520,...,...
"1982","Suisse","10-14 ans","Suisse",...,...,...
"1982","Suisse","10-14 ans","Étranger",...,...,...
"1982","Suisse","15-19 ans","Nationalité (catégorie) partenaire 1 - total",1794,...,...
"1982","Suisse","15-19 ans","Suisse",...,...,...
"1982","Suisse","15-19 ans","Étranger",...,...,...
